NGC_BMU_ID,SETT_BMU_ID,FUEL TYPE,EFF_FROM,EFF_TO,Comments,Further Fuel Type,EELPS?,Updated 21/12/2023
ABRBO-1,T_ABRBO-1,WIND,2017-08-29 00:00:00,,,,,
ABRTW-1,E_ABRTW-1,WIND,2016-09-05 00:00:00,,,,,
ACHLW-1,C__PSMAR001,WIND,2018-09-05 00:00:00,,,,,
ACHRW-1,T_ACHRW-1,WIND,2015-10-01 00:00:00,,,,,
ACHYW-1,,WIND,2010-06-07 00:00:00,,,,EELPS,
AFTOW-1,T_AFTOW-1,WIND,2017-09-11 00:00:00,,,,,
AG-HEL0CP,,OTHER,2022-09-27 00:00:00,,,BATTERY,,
AG-HEL0DN,,OTHER,2022-09-27 00:00:00,,,BATTERY,,
AG-NFLX09,2__NFLEX009,OTHER,2023-01-16 00:00:00,,,BATTERY,,
AG-PEDF01,2__PLOND001,OTHER,2021-08-27 00:00:00,,,BATTERY,,
AG-PFLX01,,OTHER,2022-10-01 00:00:00,,,,,
AIRSW-1,E_AIRSW-1,WIND,2016-06-16 00:00:00,,,,,
AKGLW-1,,WIND,2008-11-19 00:00:00,,,,EELPS,
AKGLW-2,T_AKGLW-2,WIND,2017-08-21 00:00:00,,,,,
AKGLW-3,T_AKGLW-3,WIND,2021-06-07 00:00:00,,,,,
ANSUW-1,T_ANSUW-1,WIND,2011-03-01 00:00:00,,,,,
ARBRB-1,E_ARBRB-1,OTHER,2022-04-22 00:00:00,,,BATTERY,,
ARCHW-1,T_ARCHW-1,WIND,2012-08-31 00:00:00,,,,,
ASHWW-1,E_ASHWW-1,WIND,2016-06-19 00:00:00,,,,,
ASLVW-1,T_ASLVW-1,WIND,2021-06-01 00:00:00,,,,,
BABAW-1,E_BABAW-1,WIND,2012-12-01 00:00:00,,,,,
BDCHW-1,T_BDCHW-1,WIND,2018-08-31 00:00:00,,,,,
BEATO-1,T_BEATO-1,WIND,2018-02-27 00:00:00,,,,,
BEATO-2,T_BEATO-2,WIND,2018-02-27 00:00:00,,,,,
BEATO-3,T_BEATO-3,WIND,2018-02-27 00:00:00,,,,,
BEATO-4,T_BEATO-4,WIND,2018-02-27 00:00:00,,,,,
BEINW-1,T_BEINW-1,WIND,2016-11-28 00:00:00,,,,,
BETHW-1,E_BETHW-1,WIND,2011-05-31 00:00:00,,,,,
BGLAW-1,,WIND,2008-06-23 00:00:00,,,,EELPS,
BHLAW-1,T_BHLAW-1,WIND,2016-11-28 00:00:00,,,,,
BLKWW-1,T_BLKWW-1,WIND,2017-08-23 00:00:00,,,,,
BLLA-1,T_BLLA-1,WIND,2016-05-31 00:00:00,,,,,
BLLA-2,T_BLLA-2,WIND,2016-06-07 00:00:00,,,,,
BNAKW-1,,WIND,2013-06-16 00:00:00,,,,EELPS,
BNWKW-1,E_BNWKW-1,WIND,2017-08-31 00:00:00,,,,,
BOULW-1,,WIND,2005-12-05 00:00:00,,,,EELPS,
BOWLW-1,T_BOWLW-1,WIND,2010-06-13 00:00:00,,,,,
BOYNW-1,,WIND,2013-06-16 00:00:00,,,,EELPS,
BRBEO-1,T_BRBEO-1,WIND,2016-05-12 00:00:00,,,,,
BRDUW-1,E_BRDUW-1,WIND,2011-03-01 00:00:00,,,,,
BRGG-1,E_BRGG-1,CCGT,2001-03-27 00:00:00,,,,,
BROCW-1,T_BROCW-1,WIND,2023-11-08 00:00:00,,,,,
