,local_datetime,recordType,bmUnitID,bMUnitType,leadPartyName,ngcBMUnitName,settlementDate,settlementPeriod,timeFrom,pnLevelFrom,timeTo,pnLevelTo,activeFlag,qpnLevelFrom,qpnLevelTo,melLevelFrom,melLevelTo,milLevelFrom,milLevelTo,bidOfferAcceptanceNumber,acceptanceTime,deemedBidOfferFlag,soFlag,storProviderFlag,rrInstructionFlag,rrScheduleFlag,bidOfferLevelFrom,bidOfferLevelTo
0,2022-03-19 13:00:00+00:00,PN,2__AANGE001,S,Limejump Energy Limited,AG-ALIM02,2022-03-19,27,2022-03-19 13:00:00,0.000,2022-03-19 13:05:00,0.000,Y,,,,,,,,,,,,,,,
1,2022-03-19 13:00:00+00:00,PN,2__AANGE001,S,Limejump Energy Limited,AG-ALIM02,2022-03-19,27,2022-03-19 13:05:00,0.000,2022-03-19 13:10:00,0.000,Y,,,,,,,,,,,,,,,
2,2022-03-19 13:00:00+00:00,PN,2__AANGE001,S,Limejump Energy Limited,AG-ALIM02,2022-03-19,27,2022-03-19 13:10:00,0.000,2022-03-19 13:15:00,0.000,Y,,,,,,,,,,,,,,,
3,2022-03-19 13:00:00+00:00,PN,2__AANGE001,S,Limejump Energy Limited,AG-ALIM02,2022-03-19,27,2022-03-19 13:15:00,0.000,2022-03-19 13:30:00,0.000,Y,,,,,,,,,,,,,,,
4,2022-03-19 13:00:00+00:00,PN,2__AANGE002,S,Limejump Energy Limited,AG-ALIM03,2022-03-19,27,2022-03-19 13:00:00,0.000,2022-03-19 13:30:00,0.000,Y,,,,,,,,,,,,,,,
5,2022-03-19 13:00:00+00:00,PN,2__ABGAS000,G,British Gas Trading Ltd,EAS-BGS01,2022-03-19,27,2022-03-19 13:00:00,-438.000,2022-03-19 13:30:00,-438.000,Y,,,,,,,,,,,,,,,
6,2022-03-19 13:00:00+00:00,PN,2__ABIZZ000,G,British Gas Trading Ltd,EAS-BIZ01,2022-03-19,27,2022-03-19 13:00:00,0.000,2022-03-19 13:30:00,0.000,Y,,,,,,,,,,,,,,,
7,2022-03-19 13:00:00+00:00,PN,2__ACNDL001,S,NEAS Energy Ltd.,PETDG-1,2022-03-19,27,2022-03-19 13:00:00,0.000,2022-03-19 13:01:00,0.000,Y,,,,,,,,,,,,,,,
8,2022-03-19 13:00:00+00:00,PN,2__ACNDL001,S,NEAS Energy Ltd.,PETDG-1,2022-03-19,27,2022-03-19 13:01:00,0.000,2022-03-19 13:02:00,0.000,Y,,,,,,,,,,,,,,,
9,2022-03-19 13:00:00+00:00,PN,2__ACNDL001,S,NEAS Energy Ltd.,PETDG-1,2022-03-19,27,2022-03-19 13:02:00,0.000,2022-03-19 13:03:00,0.000,Y,,,,,,,,,,,,,,,
