Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
08/04/2019,1,52.25,52.25,195.4258
08/04/2019,2,51.9,51.9,62.2486
08/04/2019,3,32.76,32.76,-40.7968
08/04/2019,4,50.85,50.85,22.6933
08/04/2019,5,51.4,51.4,186.5092
08/04/2019,6,50.85,50.85,98.2478
08/04/2019,7,50.85,50.85,45.6794
08/04/2019,8,51.4,51.4,49.631
08/04/2019,9,51.4,51.4,27.8218
08/04/2019,10,50.5,50.5,46.7635
08/04/2019,11,55.83,55.83,321.1044
08/04/2019,12,55.55,55.55,200.4168
08/04/2019,13,56.5,56.5,52.688
08/04/2019,14,32.9,32.9,-394.5671
08/04/2019,15,33.5,33.5,-337.998
08/04/2019,16,59.89,59.89,186.9907
08/04/2019,17,76,76,172.496
08/04/2019,18,77,77,233.8473
08/04/2019,19,76,76,183.5916
08/04/2019,20,85,85,230.6793
08/04/2019,21,85,85,273.9188
08/04/2019,22,38.5,38.5,-11.6488
08/04/2019,23,32.71,32.71,-16.1426
08/04/2019,24,90,90,125.7333
08/04/2019,25,34.27,34.27,-46.3055
08/04/2019,26,32.71,32.71,-199.8599
08/04/2019,27,32.65,32.65,-312.3174
08/04/2019,28,32.71,32.71,-357.4854
08/04/2019,29,32.65,32.65,-206.0857
08/04/2019,30,32.65,32.65,-159.7921
08/04/2019,31,32.65,32.65,-191.253
08/04/2019,32,32.5,32.5,-97.1463
08/04/2019,33,32.55498,32.55498,-342.7202
08/04/2019,34,34.31,34.31,-307.2806
08/04/2019,35,34.32,34.32,-273.9169
08/04/2019,36,34.61,34.61,-108.3283
08/04/2019,37,35.15,35.15,-6.3393
08/04/2019,38,35.15,35.15,-17.6034
08/04/2019,39,35.15,35.15,-29.3829
08/04/2019,40,71.03314,71.03314,143.2224
08/04/2019,41,76,76,216.9261
08/04/2019,42,35.18,35.18,-41.06
08/04/2019,43,35.18,35.18,-39.7874
08/04/2019,44,52,52,38.5701
08/04/2019,45,55,55,509.457
08/04/2019,46,55,55,745.2
08/04/2019,47,53,53,716.0929
08/04/2019,48,50.5,50.5,576.2157
09/04/2019,1,49.88,49.88,191.8205
09/04/2019,2,50,50,58.4353
09/04/2019,3,50,50,22.1489
09/04/2019,4,50,50,300.4548
09/04/2019,5,50.25,50.25,345.7249
09/04/2019,6,50,50,107.3168
09/04/2019,7,33.1,33.1,-100.3667
09/04/2019,8,33.1,33.1,-235.8501
09/04/2019,9,33.1,33.1,-107.4251
09/04/2019,10,43.11,43.11,-97.8238
09/04/2019,11,45.37,45.37,-37.1916
09/04/2019,12,49.75,49.75,126.7388
09/04/2019,13,50,50,313.1982
09/04/2019,14,34.2,34.2,-172.9743
09/04/2019,15,34.2,34.2,-349.8657
09/04/2019,16,52.29,52.29,103.9328
09/04/2019,17,34.69,34.69,-58.503
09/04/2019,18,37.80727,37.80727,160.9645
09/04/2019,19,37.8,37.8,113.6086
09/04/2019,20,34.6,34.6,-16.5388
09/04/2019,21,25,25,-346.7992
09/04/2019,22,25,25,-257.2668
09/04/2019,23,25,25,-217.956
09/04/2019,24,25,25,-131.9793
09/04/2019,25,25,25,-113.0292
09/04/2019,26,55,55,384.5124
09/04/2019,27,55,55,427.5883
09/04/2019,28,55,55,307.7674
09/04/2019,29,52,52,180.8119
09/04/2019,30,50.8,50.8,15.2244
09/04/2019,31,35.26,35.26,-96.9434
09/04/2019,32,35.25,35.25,-166.4548
09/04/2019,33,50.75,50.75,85.0787
09/04/2019,34,35.1,35.1,-19.2595
09/04/2019,35,0,0,-328.3582
09/04/2019,36,25,25,-213.6016
09/04/2019,37,25,25,-151.0673
09/04/2019,38,50,50,40.4639
09/04/2019,39,35.28,35.28,-233.0105
09/04/2019,40,35.35,35.35,-185.4806
09/04/2019,41,35.28,35.28,-267.2638
09/04/2019,42,35.1,35.1,-172.4009
09/04/2019,43,35.1,35.1,-261.786
09/04/2019,44,25,25,-541.9146
09/04/2019,45,25,25,-195.4881
09/04/2019,46,45,45,4.5345
09/04/2019,47,51.69,51.69,146.4174
09/04/2019,48,34.6,34.6,-334.2901
10/04/2019,1,37.68,37.68,-345.8696
10/04/2019,2,37.69,37.69,-276.4222
10/04/2019,3,38.11,38.11,-20.1751
10/04/2019,4,50.6,50.6,239.682
10/04/2019,5,38.17,38.17,-37.5722
10/04/2019,6,35.1,35.1,-104.0314
10/04/2019,7,34.6,34.6,-209.5666
10/04/2019,8,34.6,34.6,-196.0833
10/04/2019,9,31.92,31.92,-167.4843
10/04/2019,10,31.92,31.92,-144.584
10/04/2019,11,35.6,35.6,-11.3438
10/04/2019,12,54.9,54.9,197.836
10/04/2019,13,59,59,656.5559
10/04/2019,14,55.2,55.2,277.1598
10/04/2019,15,35.5,35.5,-16.8738
10/04/2019,16,89.5,89.5,314.7831
10/04/2019,17,98,98,562.0179
10/04/2019,18,89,89,511.2433
10/04/2019,19,87.5,87.5,477.5423
10/04/2019,20,89,89,379.394
10/04/2019,21,84,84,159.6517
10/04/2019,22,35.1,35.1,-76.6918
